2022-03-02 14:20:25,630 root  WARNING   [!] Starting emulation.
2022-03-02 14:20:25,640 root  DEBUG     [*] 0/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/dc929489bed056471a49bc96c80c5493c5e0f39ad1e0c5f29d43d8606a03318b ...
2022-03-02 14:20:26,072 root  DEBUG     [+] Finished emulation, took: 0.34s, API calls acquired: 2

2022-03-02 14:20:26,072 root  DEBUG     [*] 1/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/7d63125f00e22041d65f69e314f7fd591e9b7b38900fd6efa8166b0687f6eb8a ...
2022-03-02 14:20:26,893 root  DEBUG     [+] Finished emulation, took: 0.77s, API calls acquired: 336

2022-03-02 14:20:26,893 root  DEBUG     [*] 2/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/9c6eb4004394c737c60657c8833ed6f9298694b3a1206524e283d20d654a59bc ...
2022-03-02 14:20:27,772 root  DEBUG     [+] Finished emulation, took: 0.74s, API calls acquired: 494

2022-03-02 14:20:27,772 root  DEBUG     [*] 3/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/43636aa54c6794acf4cc2a65b474e220541db3b3cfafa5565aa1874bb64a661d ...
2022-03-02 14:20:28,669 root  DEBUG     [+] Finished emulation, took: 0.79s, API calls acquired: 86

2022-03-02 14:20:28,669 root  DEBUG     [*] 4/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/8546a69b1b81a0abd3e0b1d00180facac4b6a5d2baffafbb5768fedeb04bf962 ...
2022-03-02 14:20:32,260 root  DEBUG     [+] Finished emulation, took: 0.41s, API calls acquired: 210

2022-03-02 14:20:32,260 root  DEBUG     [*] 5/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/9c4fe95afae00612a0ec19b62a09e43c3a4ba08a011e62c056f4d5838d599b61 ...
2022-03-02 14:20:32,520 root  DEBUG     [+] Finished emulation, took: 0.23s, API calls acquired: 3

2022-03-02 14:20:32,520 root  DEBUG     [*] 6/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/6f82f6aec7c846d6fb823ed026d08a7acce16b971d17ac77a138e7c57bc41f35 ...
2022-03-02 14:20:33,204 root  DEBUG     [+] Finished emulation, took: 0.65s, API calls acquired: 70

2022-03-02 14:20:33,204 root  DEBUG     [*] 7/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/30e8b1b4bf947fa069d936b46d185e24be07e5168101ccba7898d6acf3ae5d97 ...
2022-03-02 14:20:33,489 root  DEBUG     [+] Finished emulation, took: 0.25s, API calls acquired: 7

2022-03-02 14:20:33,489 root  DEBUG     [*] 8/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/b2bac29def15747a0fc204cbdfd2b3e27e26302c7546618fb2279b007272d13a ...
2022-03-02 14:20:34,826 root  DEBUG     [+] Finished emulation, took: 0.55s, API calls acquired: 258

2022-03-02 14:20:34,826 root  DEBUG     [*] 9/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/961db6077f1443bd2d951ae0a2c2afaaf2f1395a10cef4f009c4e4572c27322d ...
2022-03-02 14:20:35,159 root  DEBUG     [+] Finished emulation, took: 0.25s, API calls acquired: 3

2022-03-02 14:20:35,160 root  DEBUG     [*] 10/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/049e3eac68783a9d097804e8ea66a43980141dfc6e6c74a25bed1dbc74fedacd ...
2022-03-02 14:20:39,881 root  DEBUG     [+] Finished emulation, took: 0.41s, API calls acquired: 210

2022-03-02 14:20:39,881 root  DEBUG     [*] 11/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/836ba4af2bdbe2f521fbed2f8fc81d10d50d7af87db7b3cd1a3f28942faad66b ...
2022-03-02 14:20:40,228 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x401e6a', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40227c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:40,228 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:40,228 root  DEBUG     [*] 12/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/80a2d92bbfe93ceaef7ffb0eb323342eb4cdfe881957be72ceae1f4cd5ceed0c ...
2022-03-02 14:20:40,720 root  DEBUG     [+] Finished emulation, took: 0.42s, API calls acquired: 210

2022-03-02 14:20:40,720 root  DEBUG     [*] 13/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/0e56b2da0bc6927cddce38b2672f6678948133a006b48a22a0194a487b62c3df ...
2022-03-02 14:20:42,428 root  DEBUG     [+] Finished emulation, took: 0.47s, API calls acquired: 210

2022-03-02 14:20:42,428 root  DEBUG     [*] 14/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/acf2afc4849f3b935195aecdb5b874fca32e9b013049431e82395b1e2b7c0e88 ...
2022-03-02 14:20:42,740 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x4010ea', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x4012a0'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:42,740 root  DEBUG     [+] Finished emulation, took: 0.28s, API calls acquired: 1

2022-03-02 14:20:42,740 root  DEBUG     [*] 15/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/94e5e8cdf25f48ead2600aeb6a359809c6f63222fe01f8e7d77594298115bb99 ...
2022-03-02 14:20:43,073 root  DEBUG     [+] Finished emulation, took: 0.28s, API calls acquired: 3

2022-03-02 14:20:43,073 root  DEBUG     [*] 16/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/314c855936bc281580a9a4cec0da6c17b98d9ff8fe22ab8ac42f5a1447626287 ...
2022-03-02 14:20:43,414 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x4010ea', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x4012a0'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:43,414 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:43,414 root  DEBUG     [*] 17/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/30d689d1c6c85d2d15be43325ca9ac2a13fecdd247ee9e6982b922fe046c4c43 ...
2022-03-02 14:20:44,047 root  DEBUG     [+] Finished emulation, took: 0.59s, API calls acquired: 69

2022-03-02 14:20:44,047 root  DEBUG     [*] 18/11274: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/dropper/d035d6c5bf9b20b39ba3d1b4fb0c8d14f02dac6e624a5142244f9ca340cebeb5 ...
