2022-03-02 14:20:25,624 root  WARNING   [!] Starting emulation.
2022-03-02 14:20:25,647 root  DEBUG     [*] 0/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/12c5cec7b0d971048471eb2dcb434ce00dba0ef7ba2f5674f2e36ab7c8211416 ...
2022-03-02 14:20:26,535 root  DEBUG     [+] Finished emulation, took: 0.72s, API calls acquired: 501

2022-03-02 14:20:26,535 root  DEBUG     [*] 1/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/d536c9da0ff9b846a9bbd91f54535f078496ccda6db7f081c4343838fac9c6fd ...
2022-03-02 14:20:27,323 root  DEBUG     [+] Finished emulation, took: 0.68s, API calls acquired: 501

2022-03-02 14:20:27,323 root  DEBUG     [*] 2/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/b9eca2fe2410dbb04808c2154a80362dfb52f488a5cfb175505c4ec502ea1900 ...
2022-03-02 14:20:29,613 root  DEBUG     [+] Finished emulation, took: 2.21s, API calls acquired: 249

2022-03-02 14:20:29,613 root  DEBUG     [*] 3/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/f29e1a2001c7796054ce5b8c12bcac2c3615277e0cc9da0e7b8fa780d9caa6a5 ...
2022-03-02 14:20:30,401 root  DEBUG     [+] Finished emulation, took: 0.64s, API calls acquired: 501

2022-03-02 14:20:30,401 root  DEBUG     [*] 4/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/a3b77e3131c4ea1590cc761dffed15e3efe640d06f1720845c61b41d3845a7ab ...
2022-03-02 14:20:31,155 root  DEBUG     [+] Finished emulation, took: 0.61s, API calls acquired: 399

2022-03-02 14:20:31,156 root  DEBUG     [*] 5/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/e8da3c8dcde50f8cf72915097c5cb7408f9e83092bb6706bacd4ed0c025b3baf ...
2022-03-02 14:20:32,849 root  DEBUG     [+] Finished emulation, took: 0.55s, API calls acquired: 501

2022-03-02 14:20:32,850 root  DEBUG     [*] 6/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/f388e1a11acc045edd9a5959ae94b2572af12b1a1f7e0375a43749c8956a42a6 ...
2022-03-02 14:20:33,840 root  DEBUG     [+] Finished emulation, took: 0.62s, API calls acquired: 499

2022-03-02 14:20:33,840 root  DEBUG     [*] 7/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/32708023312a7c20362acd2007ac1574a9a766f0e60dc6006364459bfeca8dbd ...
2022-03-02 14:20:34,702 root  DEBUG     [+] Finished emulation, took: 0.58s, API calls acquired: 501

