2022-03-02 14:20:25,617 root  WARNING   [!] Starting emulation.
2022-03-02 14:20:25,625 root  DEBUG     [*] 0/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/b2b2a671880e486a78e42cf775660c9e2e72fb49df58492604a82f067e1dcad7 ...
2022-03-02 14:20:26,068 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:26,068 root  DEBUG     [+] Finished emulation, took: 0.39s, API calls acquired: 1

2022-03-02 14:20:26,068 root  DEBUG     [*] 1/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/40fcc9f8f5bf4079e10cd9abd4893ecdf701f58f214c5a44657e3afc768a921e ...
2022-03-02 14:20:26,462 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:26,462 root  DEBUG     [+] Finished emulation, took: 0.35s, API calls acquired: 1

2022-03-02 14:20:26,462 root  DEBUG     [*] 2/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/70d5114667301a2d48e23e37cc280c2b92f7f9b2cca02bd0db69fe810908b9a2 ...
2022-03-02 14:20:27,664 root  DEBUG     [+] Finished emulation, took: 0.45s, API calls acquired: 225

2022-03-02 14:20:27,664 root  DEBUG     [*] 3/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/e87fe86d1f9c6c6dfa854363dcf2470df7094de2ddf2f84fe82976cf3e5cecfb ...
2022-03-02 14:20:27,950 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:27,950 root  DEBUG     [+] Finished emulation, took: 0.24s, API calls acquired: 1

2022-03-02 14:20:27,950 root  DEBUG     [*] 4/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/42e98de8d642f0aaa691e5c84230590e9d2a89e1d8417c4396afceb7289a611e ...
2022-03-02 14:20:28,256 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:28,256 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:28,256 root  DEBUG     [*] 5/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/281741cb20c896fed209cda8f83bd96c851e770ef3a6a42fedd6f40f21f74000 ...
2022-03-02 14:20:28,566 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:28,566 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:28,566 root  DEBUG     [*] 6/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/defdfbf8f68275c7d4b7fda0a0c62a1d60a275f70f9b87efeb8e205ef5776da0 ...
2022-03-02 14:20:28,924 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_write']; APIs: [{'pc': '0x4013b2', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x401d90'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:28,924 root  DEBUG     [+] Finished emulation, took: 0.25s, API calls acquired: 1

2022-03-02 14:20:28,924 root  DEBUG     [*] 7/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/f67dbcf8f48bd931a297b783ac5f5ab5d5e704e1a6b5cf0e94b0800b9cdf4791 ...
2022-03-02 14:20:29,244 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:29,244 root  DEBUG     [+] Finished emulation, took: 0.27s, API calls acquired: 1

2022-03-02 14:20:29,244 root  DEBUG     [*] 8/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/a9ac4b209c1ba1a1245a4ae4438ce5ffcd837160427396f3d72af3631d7fe944 ...
2022-03-02 14:20:37,141 root  DEBUG     [+] Finished emulation, took: 0.40s, API calls acquired: 9

2022-03-02 14:20:37,141 root  DEBUG     [*] 9/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/ccf418efd146101be3256ce7ee5d4dd765cfd09e7510b44ded2a06d760815366 ...
2022-03-02 14:20:37,507 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:37,508 root  DEBUG     [+] Finished emulation, took: 0.32s, API calls acquired: 1

2022-03-02 14:20:37,508 root  DEBUG     [*] 10/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/99effcabc559c535b7ace71cab2cd54d1c73c6ad14d42abdac4b7238b4d0583e ...
2022-03-02 14:20:37,807 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:37,807 root  DEBUG     [+] Finished emulation, took: 0.25s, API calls acquired: 1

2022-03-02 14:20:37,807 root  DEBUG     [*] 11/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/52b9071377fbb7e0d274b88f5fd326040dd852f06fc4d05eaff1be61331c73b7 ...
2022-03-02 14:20:38,102 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:38,102 root  DEBUG     [+] Finished emulation, took: 0.25s, API calls acquired: 1

2022-03-02 14:20:38,102 root  DEBUG     [*] 12/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/84a4f27fa8ee70c57af9561b348415bc94672b0942262e288ed3244ea6b20f39 ...
2022-03-02 14:20:38,409 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:38,409 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:38,409 root  DEBUG     [*] 13/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/8c4480cecb8f6304bcb277452ae929b420dc2ac9ea229ddcd921e85040221bea ...
2022-03-02 14:20:39,364 root  DEBUG     [+] Finished emulation, took: 0.35s, API calls acquired: 141

2022-03-02 14:20:39,365 root  DEBUG     [*] 14/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/11da4ee94f94ce72adf03eca42e328dcaa93057a0cb0efba489003e7fd699397 ...
2022-03-02 14:20:40,606 root  DEBUG     [+] Finished emulation, took: 0.42s, API calls acquired: 225

